parcel_id,apn,reason
0290c506-08c3-49a7-b629-dedb40888bb7,70838002,Ring Self-intersection[-121.796889437445 37.1910072752643]
0b2e2086-5678-484e-b48e-f99f13999476,68506C28,Self-intersection[-121.823542667898 37.2673389732792]
104a562c-031f-4b05-bb7e-212ed1eba20f,09733110,Self-intersection[-121.928929274373 37.4038557971353]
1463a10c-63e4-4709-9be2-85e987a5be4c,70656C15,Self-intersection[-121.786662248083 37.2420571532132]
16eb674a-ec3e-4c32-a192-10326799a200,23055C10,Self-intersection[-121.925973538811 37.3469736931336]
1e566e98-a4a3-4be0-ac31-2efbcddc7b6b,24127C01,Self-intersection[-121.876078162669 37.3732150347982]
37f278b9-b253-4e9e-9d42-d1f83abc39bc,46251081,Self-intersection[-121.860034960654 37.2706548289676]
37f3a9a4-38bf-4af2-a722-b7b1d9a5f20d,23055CDD,Self-intersection[-121.926382501788 37.3471802378669]
42648dc4-ab0d-4e62-a80f-1f6045dc7e32,70656C14,Self-intersection[-121.787050053392 37.2422891138341]
46ec6bc7-4ddc-40b5-9c84-2f865528a479,58353C03,Ring Self-intersection[-121.843150718054 37.1958573772338]
4a85cbbd-7563-4306-bd32-c4bfe3c5d754,68506C17,Self-intersection[-121.824521795805 37.2676727550113]
4e68e3f3-e061-414c-aac6-cd9f0671a859,01522009,Ring Self-intersection[-121.968171518146 37.4382958556875]
538877a3-4a57-431c-b68d-ddedda113d77,30356C12,Self-intersection[-121.953748895847 37.3174052499263]
5eb944f0-1f75-46f0-a169-182fab413070,45634C01,Self-intersection[-121.857032586292 37.2911549136063]
6100becc-f715-4bee-98bf-e8c57b14c85e,24447C01,Ring Self-intersection[-121.890438764438 37.3898625811436]
703875d3-2d1e-4ff6-ad68-55f798a3027b,70658C10,Self-intersection[-121.785472518162 37.2408554268976]
7addeace-e1a0-4d8f-b9d8-5b14f0954ebe,67925C01,Self-intersection[-121.774455789893 37.2822611248353]
8a393ecc-4566-47a2-a9e8-1b13fcc71091,45553C04,Self-intersection[-121.879466596097 37.282221548476]
aa204b41-64ac-4bfb-b74d-ff5f25696528,45608C13,Self-intersection[-121.879962671639 37.2977116436677]
ae955f2e-f0a0-4086-a978-a68e65e1e295,45549C02,Self-intersection[-121.874630415035 37.2841437989465]
b73f1715-b46a-4c85-a6fb-9f77342be530,57732008,Self-intersection[-121.881579264337 37.2322770928684]
d4a3cdd6-6bfb-4f98-a5d3-e4195208ce89,70658C12,Self-intersection[-121.785047396701 37.2406035093656]
d9ea2d1a-832e-456e-ad06-97fa7a960e77,68737037,Self-intersection[-121.833584109149 37.2486221491706]
e30c6114-e30f-4d60-8959-d93ab91e6e27,48441135,Self-intersection[-121.840196395037 37.3565444359508]
e815ecde-5a15-40ce-9875-19ebf7d3f957,70662C09,Self-intersection[-121.786151302335 37.2416753884593]
ee1cc3c6-9de8-4405-bd70-3d4e0ee53948,41953051,Self-intersection[-121.918441701358 37.2457517159005]
f778ae78-930f-4d9f-bc58-72bc781e07a5,70647C03,Self-intersection[-121.798528767987 37.2433168742734]
fff7189c-a9d1-4674-9ff3-9c9a33ae9ae2,29643C01,Self-intersection[-121.985750977207 37.3183478061918]
